Feature,Importance,std
prosocial,-0.0016363636363636758,0.003925850846230696
adverb,-0.001575757575757626,0.002031885407786704
wellness,0.001575757575757537,0.0022465155142849208
discrep,0.0015757575757575281,0.004231153860777464
time,0.0015757575757575238,0.0021632203997060174
quantity,-0.0014545454545455082,0.00310454508481593
ari,-0.0013939393939394452,0.0027413776673693773
differ,-0.0013939393939394406,0.0027746722769114223
emo_sad,-0.0012727272727273186,0.002213573620333279
auditory,0.0012121212121211622,0.0030604560419278943
Perception,-0.0011515151515152056,0.003957533992076238
attention,-0.001151515151515201,0.0038157760578659975
tone_neg,-0.0011515151515151879,0.001929901009465538
mental,-0.0010909090909091291,0.0012508949963969953
Conversation,0.001090909090909049,0.002405991908033842
they,0.0010909090909090445,0.0043391569259802944
moral,-0.001030303030303088,0.003552569912667358
ppron,-0.0010303030303030702,0.0024136130608169576
emo_neg,-0.0010303030303030658,0.0022152323493935797
focusfuture,-0.0009696969696970203,0.004865122967367146
leisure,-0.0009696969696970159,0.002094200308263156
Comma,-0.0009090909090909571,0.0027440561024658717
cogproc,-0.0009090909090909482,0.0031782086308186444
BigWords,0.0009090909090908683,0.0035855028988482597
auxverb,0.0008484848484848096,0.0036383832775281582
Cognition,-0.0007878787878788352,0.0033503696875358075
Analytic,-0.0007878787878788263,0.002781283371050605
money,0.0007878787878787552,0.0023125798822228928
motion,-0.0007272727272727719,0.002814105882725785
tech,0.0007272727272726875,0.0018738939192412354
Exclam,-0.0006666666666667176,0.002909090909090909
we,-0.0006666666666667176,0.0034036657168724834
want,0.0006666666666666199,0.0025741527977691274
space,-0.0006060606060606633,0.0035339102393001785
Linguistic,-0.0006060606060606455,0.0018680042433239325
focuspresent,0.0006060606060605655,0.003636363636363641
Tone,0.0006060606060605611,0.0031198879215112094
affiliation,-0.0005454545454545956,0.0032603582197121912
friend,-0.0005454545454545867,0.0018620959388772375
Clout,-0.0005454545454545867,0.002902770912685591
cause,-0.0004848484848485368,0.0037536636526550485
illness,-0.0004848484848485324,0.002596883064924666
Social,-0.0004848484848485324,0.002929223266325952
Lifestyle,-0.00048484848484851904,0.0018039849777136126
risk,0.00048484848484844803,0.0031116357946650774
tentat,0.00048484848484843914,0.0037044137672572457
conj,-0.00042424242424247803,0.0030760187976847327
allnone,-0.0004242424242424736,0.0038693065938211865
nonflu,0.0004242424242423848,0.001250894996396991
certitude,-0.0003636363636363926,0.002434825385042503
Affect,-0.00030303030303034716,0.002461829819586653
i,-0.00030303030303034716,0.0032917516640000714
Period,0.0003030303030302539,0.002267671143499346
pronoun,0.000303030303030245,0.002606765232437151
function,-0.00024242424242429728,0.0033382883282231336
insight,0.00024242424242419957,0.003310666735453977
article,-0.00018181818181822073,0.0035161962919661423
achieve,0.00018181818181813635,0.0028850012691907594
adj,-0.00012121212121216641,0.0032614846174724263
OtherP,-4.4408920985006264e-17,0.002461829819586651
Segment,0.0,0.0
